crime_type,year,month,day,hour,location,latitude,longitude
theft,2010,4,8,7,STREET,41.963040468,-87.704188046
battery,2013,3,19,15,"SCHOOL, PUBLIC, BUILDING",41.764328821,-87.706173442
theft,2007,11,29,12,APARTMENT,41.988944184,-87.667425499
criminal damage,2010,5,10,13,GROCERY FOOD STORE,41.909240284,-87.65274758
battery,2008,6,30,17,ABANDONED BUILDING,41.754643562,-87.565076428
theft,2002,7,30,9,AIRPORT/AIRCRAFT,41.792275741,-87.762289751
theft,2014,7,14,21,CHA APARTMENT,41.655199016,-87.602321563
battery,2013,7,28,24,SIDEWALK,41.9564315,-87.716664827
theft,2014,4,11,21,RESIDENCE,41.704040079,-87.562035396
battery,2005,6,18,20,SIDEWALK,41.870228101,-87.747824574
battery,2013,12,14,13,STREET,41.677944964,-87.630166406
battery,2011,9,22,24,CTA PLATFORM,41.885808136,-87.725813061
battery,2010,10,13,23,VEHICLE NON-COMMERCIAL,41.770448636,-87.658707313
criminal damage,2010,10,27,21,STREET,41.786499587,-87.649815884
criminal damage,2007,1,9,4,VEHICLE NON-COMMERCIAL,41.96329507,-87.765670152
battery,2016,3,4,19,ALLEY,41.870896371,-87.711547049
criminal damage,2008,7,1,24,RESIDENCE,41.895811501,-87.682836067
battery,2010,7,21,14,RESIDENCE,41.72274305,-87.635967761
theft,2006,12,17,12,GAS STATION,41.904462488,-87.648118305
theft,2014,7,1,22,STREET,41.92116305,-87.736449714
criminal damage,2013,9,20,14,VEHICLE NON-COMMERCIAL,41.799213631,-87.782017865
theft,2013,5,3,23,STREET,41.829019358,-87.63927721
criminal damage,2004,10,22,19,RESIDENCE,41.800671638,-87.667196188
criminal damage,2008,2,25,9,DRUG STORE,41.867414944,-87.627231186
battery,2008,8,1,22,SIDEWALK,41.912437783,-87.736189335
criminal damage,2013,2,26,17,RESIDENCE,41.693455479,-87.626511797
theft,2003,6,23,14,STREET,41.75330262,-87.722036012
theft,2003,7,2,21,STREET,41.796570177,-87.75508201
battery,2008,12,6,20,SIDEWALK,41.87974804,-87.726700354
criminal damage,2002,9,25,19,STREET,41.94222212,-87.690675201
criminal damage,2009,7,19,15,STREET,41.934001455,-87.649059128
criminal damage,2009,5,27,17,SMALL RETAIL STORE,41.918172343,-87.648985757
theft,2001,8,28,11,RESIDENCE,41.716172928,-87.646869516
theft,2008,3,31,2,STREET,41.870550237,-87.715548719
theft,2002,6,16,9,RESIDENCE PORCH/HALLWAY,41.918582734,-87.688112628
theft,2008,9,25,20,STREET,41.948955977,-87.659953065
theft,2005,12,14,18,APARTMENT,41.814133279000004,-87.599357934
criminal damage,2016,11,25,10,OTHER,41.808659359,-87.660921846
theft,2005,8,20,21,STREET,41.82595314,-87.638679262
battery,2006,12,26,23,STREET,41.904056084,-87.681058918
theft,2002,7,5,4,APARTMENT,41.749668151,-87.667064112
battery,2002,12,6,15,STREET,41.751917861,-87.650135245
theft,2004,11,11,20,CTA PLATFORM,41.929915469,-87.708791295
battery,2004,1,20,24,SIDEWALK,41.901772663,-87.721400682
battery,2007,3,21,15,ALLEY,41.882875715,-87.760209478
theft,2002,4,24,21,OTHER,41.855716435,-87.662991302
theft,2006,7,4,10,PARKING LOT/GARAGE(NON.RESID.),41.926122321,-87.785538383
battery,2005,3,9,24,"SCHOOL, PUBLIC, BUILDING",41.903509764,-87.717806169
battery,2004,3,18,23,STREET,41.932513562,-87.678137685
theft,2002,9,13,20,RESIDENCE PORCH/HALLWAY,41.996156893,-87.742286619
battery,2013,3,14,7,VEHICLE NON-COMMERCIAL,41.884989467,-87.728244585
battery,2012,5,31,15,RESIDENTIAL YARD (FRONT/BACK),41.884680488,-87.754005423
battery,2011,11,17,23,ALLEY,41.789656207,-87.646251106
theft,2014,1,26,9,APARTMENT,41.806824496,-87.643056347
criminal damage,2010,8,15,12,RESIDENCE PORCH/HALLWAY,41.965731951,-87.689725637
criminal damage,2008,9,7,17,GROCERY FOOD STORE,41.73516861,-87.703313645
theft,2007,8,25,12,STREET,41.895214954,-87.663559097
criminal damage,2003,11,21,10,GROCERY FOOD STORE,41.903775756,-87.639324074
criminal damage,2017,4,21,23,GAS STATION,41.735931109,-87.653642482
battery,2005,5,4,21,SIDEWALK,41.943632694,-87.648437874
criminal damage,2007,6,29,12,STREET,41.851041043,-87.6914786
battery,2010,9,8,21,STREET,41.773591445,-87.661618184
theft,2008,1,5,3,RESIDENCE,41.683819009,-87.672444492
battery,2007,1,6,3,STREET,41.886423555,-87.765084176
battery,2009,2,27,18,SIDEWALK,41.895939121,-87.719990845
battery,2002,11,25,21,SIDEWALK,41.860003414,-87.729878828
theft,2006,5,27,17,VEHICLE NON-COMMERCIAL,41.909506998,-87.711892553
theft,2007,6,3,12,STREET,41.905562114,-87.707588672
theft,2002,3,9,20,APARTMENT,41.97494676,-87.664717566
criminal damage,2007,2,1,9,RESIDENCE,41.797761515,-87.74167065
battery,2005,1,16,22,STREET,41.805063164,-87.743096274
criminal damage,2005,9,28,8,SIDEWALK,41.955178765,-87.650939213
battery,2006,7,27,20,ALLEY,41.911679186,-87.766825765
criminal damage,2003,4,30,6,RESIDENCE,41.785783113,-87.668010337
criminal damage,2008,9,14,10,STREET,41.676819466,-87.64187398
battery,2007,3,20,22,SIDEWALK,41.87564878,-87.763251916
theft,2011,10,31,18,STREET,41.690352196,-87.720278157
theft,2002,10,11,5,APARTMENT,41.76469494,-87.564520335
criminal damage,2006,11,9,10,SMALL RETAIL STORE,41.78131246,-87.605950633
theft,2009,3,21,13,STREET,41.795735538,-87.772160691
battery,2011,10,22,21,STREET,41.69398576,-87.619508903
theft,2009,2,9,6,APARTMENT,41.671468081,-87.63688749
theft,2005,5,20,4,COMMERCIAL / BUSINESS OFFICE,41.886685809,-87.656064549
criminal damage,2009,6,28,20,STREET,41.998707287,-87.687469393
criminal damage,2005,1,25,13,PARKING LOT/GARAGE(NON.RESID.),41.968559766,-87.69536369
criminal damage,2005,11,3,16,STREET,41.755314017,-87.667207296
battery,2012,5,1,14,BANK,41.852124237,-87.679178967
criminal damage,2010,10,13,17,STREET,41.870136936,-87.679557091
criminal damage,2006,12,10,11,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,41.851910602,-87.678289217
criminal damage,2010,3,17,14,GROCERY FOOD STORE,41.945005756,-87.645842759
battery,2008,3,24,17,SIDEWALK,41.865425136,-87.705641621
battery,2005,7,9,23,STREET,41.924378499,-87.756156208
battery,2005,2,21,11,SIDEWALK,42.015983285,-87.670852831
criminal damage,2009,12,16,21,DEPARTMENT STORE,41.897837503,-87.624097243
battery,2010,6,17,13,RESIDENTIAL YARD (FRONT/BACK),41.742957043,-87.672069262
theft,2006,2,12,21,VEHICLE NON-COMMERCIAL,41.923336704,-87.713698544
battery,2003,10,22,13,SIDEWALK,41.743687197,-87.563679041
battery,2014,2,3,20,STREET,41.76615158,-87.585638658
battery,2005,12,11,11,RESIDENCE PORCH/HALLWAY,41.876926807,-87.738741539
battery,2009,5,28,19,GAS STATION,41.729160106,-87.58548161
theft,2005,8,28,4,RESIDENCE,41.785714305,-87.615111614
battery,2007,11,14,15,SIDEWALK,41.938258407,-87.718545345
theft,2007,1,25,21,RESIDENCE-GARAGE,41.992661466,-87.78442745
battery,2005,9,28,20,STREET,41.757601044,-87.663606511
theft,2005,5,6,16,RESIDENCE-GARAGE,41.770710626,-87.58956315
theft,2014,2,10,7,APARTMENT,41.76015578,-87.556752911
criminal damage,2005,7,12,16,GROCERY FOOD STORE,41.773060554,-87.61032573
criminal damage,2011,10,2,3,BAR OR TAVERN,41.890011565,-87.631793561
theft,2014,5,25,23,APARTMENT,41.903112551,-87.759815479
criminal damage,2001,9,29,17,DEPARTMENT STORE,41.754658085,-87.741385006
criminal damage,2010,4,20,8,STREET,41.789537767,-87.659614611
criminal damage,2008,4,16,20,BAR OR TAVERN,41.938827805,-87.72342824
theft,2013,6,22,1,RESIDENCE,41.72542908,-87.581465986
criminal damage,2007,7,23,15,DRUG STORE,41.993101615,-87.660363435
theft,2016,8,12,22,APARTMENT,41.790423758,-87.619114707
battery,2004,5,21,11,GAS STATION,41.690701233,-87.664282585
battery,2012,4,18,9,GAS STATION,41.880401861,-87.752850634
criminal damage,2013,7,22,23,STREET,41.931138327,-87.697596282
battery,2011,11,2,15,STREET,41.847285069,-87.707558659
theft,2005,11,26,17,STREET,41.769723021,-87.680845279
battery,2008,2,21,17,STREET,41.894008139,-87.751284
battery,2001,4,4,18,STREET,41.896919746,-87.748576229
criminal damage,2016,9,4,19,APARTMENT,41.813355201,-87.669955382
criminal damage,2016,6,8,15,"SCHOOL, PUBLIC, BUILDING",41.862460407,-87.659936276
battery,2008,6,19,19,STREET,41.677552322,-87.623881857
theft,2002,1,16,17,STREET,41.906838666,-87.71783297
battery,2012,2,21,23,SIDEWALK,41.743408067,-87.550392029
theft,2005,12,30,17,RESIDENCE,41.810651014,-87.7518008
criminal damage,2014,9,10,9,PARKING LOT/GARAGE(NON.RESID.),41.877805859,-87.624307765
theft,2005,3,19,11,RESIDENCE-GARAGE,41.784075886,-87.686218022
theft,2010,5,27,22,ALLEY,41.802731528,-87.659953212
criminal damage,2008,4,7,8,RESTAURANT,41.893298918,-87.626384218
criminal damage,2012,6,2,3,OTHER,41.675253432,-87.601695694
theft,2001,3,17,23,STREET,41.969081986,-87.663234477
battery,2008,7,16,14,STREET,41.706886634,-87.646034447
battery,2015,3,2,18,STREET,41.775612845,-87.683850465
criminal damage,2013,8,28,8,ALLEY,41.747922523,-87.648814397
criminal damage,2013,8,20,11,STREET,41.828743353,-87.624192644
battery,2004,5,30,19,STREET,41.895468386,-87.715620836
theft,2003,11,13,7,PARKING LOT/GARAGE(NON.RESID.),41.903077492,-87.683673325
battery,2015,8,13,19,SIDEWALK,41.791979022,-87.648741899
theft,2011,11,21,17,STREET,41.756070901,-87.618264271
theft,2003,12,18,18,STREET,41.715917336,-87.594590507
criminal damage,2014,4,10,5,COMMERCIAL / BUSINESS OFFICE,41.731446259,-87.551288344
theft,2009,11,24,5,APARTMENT,41.740479144,-87.555128667
criminal damage,2005,5,2,9,"SCHOOL, PUBLIC, BUILDING",41.749460005,-87.72089612
criminal damage,2006,12,20,17,CONSTRUCTION SITE,41.853138646,-87.656282765
battery,2006,8,8,14,STREET,41.651431574,-87.617230951
battery,2010,3,24,10,SIDEWALK,41.744949362,-87.600153769
battery,2007,9,19,15,SIDEWALK,41.997826693,-87.684115825
theft,2015,10,23,17,APARTMENT,41.75620279,-87.583423198
criminal damage,2011,12,17,15,STREET,41.692378887,-87.621046145
criminal damage,2011,8,2,23,STREET,41.699704678,-87.705999815
theft,2003,5,15,20,CTA BUS,41.86641507,-87.705004143
criminal damage,2006,7,13,12,STREET,42.00965151,-87.775472585
theft,2009,8,7,12,STREET,41.870240668,-87.687218512
battery,2009,9,1,24,SIDEWALK,41.789920298,-87.636787589
theft,2013,8,15,20,STREET,41.757716643,-87.610237759
battery,2012,6,24,1,SIDEWALK,41.909152038,-87.652675042
battery,2005,7,8,3,SIDEWALK,41.945809342,-87.649440142
theft,2001,6,17,21,STREET,41.968999046,-87.667846546
battery,2013,6,1,23,STREET,41.77852395,-87.734243616
criminal damage,2012,3,18,6,SMALL RETAIL STORE,41.678237739,-87.68073427
criminal damage,2016,3,28,11,SMALL RETAIL STORE,41.910860169,-87.65195519
criminal damage,2016,7,21,9,RESIDENCE-GARAGE,41.906496877,-87.628769738
battery,2005,10,26,21,STREET,41.902708865,-87.721994179
criminal damage,2017,6,2,14,OTHER,41.97723514,-87.679437394
criminal damage,2010,3,16,19,STREET,41.916653088,-87.653319155
theft,2011,9,3,3,STREET,41.901099723,-87.697549044
theft,2008,5,9,6,RESIDENCE,42.009035558,-87.670947003
criminal damage,2017,5,6,18,OTHER,41.864041805,-87.705600084
battery,2007,4,11,16,PARKING LOT/GARAGE(NON.RESID.),41.772685171,-87.693228195
theft,2013,9,14,22,STREET,41.981238356,-87.71042319
theft,2002,1,22,14,RESIDENCE,41.769447819,-87.566538409
battery,2004,3,20,18,ALLEY,41.945402551,-87.678512998
theft,2017,2,3,19,STREET,41.816076046,-87.6006197
criminal damage,2014,1,23,16,PARKING LOT/GARAGE(NON.RESID.),41.886124992,-87.62452427
battery,2006,3,28,19,SIDEWALK,41.877617753,-87.75094071
theft,2006,12,31,12,STREET,41.919163753,-87.68359837
battery,2010,6,12,18,STREET,41.788507353,-87.654730146
theft,2005,5,27,9,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,41.744911962,-87.605060787
criminal damage,2005,7,31,20,STREET,41.804899701,-87.666099736
battery,2007,12,9,3,STREET,41.747603472,-87.566164449
theft,2006,1,1,21,ALLEY,41.681429938,-87.706466546
criminal damage,2009,9,3,14,SMALL RETAIL STORE,41.76460796,-87.68867896
battery,2014,2,11,10,VEHICLE NON-COMMERCIAL,41.884751715,-87.749105847
theft,2014,1,14,23,STREET,41.877495744,-87.760510915
criminal damage,2011,1,28,17,STREET,42.002601552,-87.817700751
criminal damage,2002,10,31,20,PARKING LOT/GARAGE(NON.RESID.),41.924932481,-87.699870042
theft,2005,4,9,23,APARTMENT,41.90217879,-87.762424575
battery,2006,12,23,14,SIDEWALK,41.696277951,-87.619175982
criminal damage,2014,10,22,3,CONVENIENCE STORE,42.005446228,-87.666219555
theft,2016,1,16,15,APARTMENT,41.899899476,-87.729911073
battery,2003,3,21,22,VACANT LOT/LAND,41.85909758,-87.704264514
theft,2004,5,31,12,STREET,41.747947535,-87.660951114
theft,2006,2,18,11,CTA BUS,41.889938088,-87.706385969
criminal damage,2008,5,16,11,OTHER,41.810768138,-87.684507864
battery,2011,11,30,15,ABANDONED BUILDING,41.780465426,-87.669088234
criminal damage,2014,12,5,10,PARKING LOT/GARAGE(NON.RESID.),41.879297767,-87.725621359
theft,2009,10,18,4,STREET,41.910301634,-87.756911262
criminal damage,2009,10,27,16,SMALL RETAIL STORE,41.867414944,-87.627231186
criminal damage,2008,3,6,16,CTA BUS,41.968613226,-87.689211248
battery,2005,10,1,12,COLLEGE/UNIVERSITY RESIDENCE HALL,41.875232942,-87.6276188
theft,2007,1,14,13,STREET,41.89478563,-87.770170538
criminal damage,2003,10,6,6,STREET,41.731670655,-87.658080081
battery,2009,10,1,23,STREET,41.691766454,-87.662001505
theft,2008,8,29,20,STREET,41.812808022,-87.702901874
criminal damage,2008,11,21,9,COMMERCIAL / BUSINESS OFFICE,41.876839889,-87.634155464
criminal damage,2016,7,11,20,STREET,41.996680239,-87.693512064
battery,2005,10,10,24,RESIDENCE,41.720303028,-87.65377789
battery,2003,1,15,22,STREET,41.760583521,-87.664920653
battery,2004,12,11,20,STREET,41.747832263,-87.654880171
battery,2009,2,25,2,RESIDENCE PORCH/HALLWAY,41.783381141,-87.61327504
theft,2016,7,16,1,STREET,41.83799308,-87.650259019
battery,2005,2,8,14,PARKING LOT/GARAGE(NON.RESID.),41.964825472,-87.654781648
criminal damage,2014,12,12,21,STREET,41.92240592,-87.696554897
theft,2002,3,24,17,APARTMENT,41.847266984,-87.708773677
criminal damage,2001,4,20,11,STREET,41.852488335,-87.625347238
theft,2001,1,21,23,STREET,41.815724668,-87.688471082
theft,2004,5,21,9,GROCERY FOOD STORE,41.870724666,-87.628597294
theft,2015,4,17,20,RESIDENCE-GARAGE,41.747895879,-87.583857019
criminal damage,2008,7,22,11,DRUG STORE,41.765755571,-87.576292427
criminal damage,2009,6,27,12,STREET,41.795536462,-87.65489804
criminal damage,2017,3,25,3,APARTMENT,41.866997057,-87.731167788
criminal damage,2004,4,15,20,RESIDENCE-GARAGE,41.858633393,-87.622346444
battery,2015,6,25,24,SIDEWALK,41.867752226,-87.697156311
criminal damage,2007,4,17,24,"SCHOOL, PUBLIC, BUILDING",41.85256088,-87.712355992
theft,2010,4,25,19,RESIDENCE,41.798668063,-87.685385426
criminal damage,2013,9,23,23,SIDEWALK,41.887919288,-87.628019052
battery,2006,7,7,23,GAS STATION,41.876548089,-87.745134143
battery,2005,8,16,1,STREET,41.778660472,-87.690943333
theft,2004,6,9,3,APARTMENT,41.775286696,-87.647101055
theft,2007,6,27,7,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,41.923920157,-87.769958498
battery,2003,8,25,13,STREET,41.75108144,-87.581668774
criminal damage,2002,11,5,22,ALLEY,42.014106985,-87.806608906
theft,2002,7,25,16,OTHER,41.781203964,-87.620602942
criminal damage,2010,12,4,4,STREET,42.000093268,-87.682639587
criminal damage,2008,12,23,13,RESIDENCE,41.937094056,-87.659710332
theft,2002,9,22,18,STREET,41.856630165,-87.654098552
battery,2005,9,9,24,CHA PARKING LOT/GROUNDS,41.839804007,-87.627964177
battery,2007,7,30,18,SIDEWALK,41.882477301,-87.730629532
theft,2009,3,9,14,RESIDENCE,41.765334593,-87.583657761
criminal damage,2005,4,10,18,APARTMENT,41.943670005,-87.645956354
battery,2010,6,5,5,ALLEY,41.984063105,-87.690684924
battery,2008,7,16,22,STREET,41.75276872,-87.558465474
battery,2006,5,30,24,STREET,41.944606604,-87.723329057
battery,2005,4,1,20,ALLEY,41.882100376,-87.685105036
theft,2006,8,20,6,SIDEWALK,41.906294202,-87.631523484
criminal damage,2001,4,5,10,RESIDENCE,41.712236188,-87.610396118
theft,2016,10,23,22,STREET,41.715391354,-87.616400543
criminal damage,2007,5,16,19,DEPARTMENT STORE,41.90969226,-87.740707972
criminal damage,2008,6,1,21,OTHER,41.873828974,-87.692396234
criminal damage,2016,10,7,24,STREET,41.757614433,-87.586115266
theft,2002,6,17,17,"SCHOOL, PUBLIC, BUILDING",41.809732486,-87.672288972
criminal damage,2004,10,22,24,COMMERCIAL / BUSINESS OFFICE,41.881787797,-87.63236091
theft,2013,7,19,20,STREET,41.729843669,-87.662891098
criminal damage,2010,3,23,9,"SCHOOL, PUBLIC, BUILDING",41.803201891,-87.72198373
battery,2002,8,16,22,SIDEWALK,41.90281662,-87.722647015
theft,2012,4,22,13,STREET,41.90603901,-87.674128735
theft,2007,8,25,2,RESIDENCE,41.683950554,-87.619198828
battery,2008,7,31,22,ALLEY,41.897224246,-87.638700803
battery,2011,8,26,20,STREET,41.693511976,-87.641204594
criminal damage,2008,10,18,12,RESIDENCE,41.765389475,-87.583657122
battery,2001,2,1,19,STREET,41.797546454,-87.670613539
battery,2009,1,18,16,ALLEY,41.883493303,-87.756399465
criminal damage,2002,6,18,18,STREET,41.775543828000004,-87.633317379
battery,2002,12,6,21,CTA PLATFORM,41.883376682,-87.627874384
theft,2004,5,12,3,RESIDENCE,41.94482036,-87.734744077
battery,2004,9,30,11,SIDEWALK,41.859792907,-87.727424953
theft,2002,5,20,1,APARTMENT,41.967070725,-87.72799429
criminal damage,2004,1,28,20,STREET,41.928195493,-87.722687986
battery,2014,2,28,10,SIDEWALK,41.886695278,-87.765092786
theft,2008,10,17,1,APARTMENT,41.733157789,-87.549944988
criminal damage,2011,11,27,5,SIDEWALK,41.940412833,-87.651052567
criminal damage,2003,2,17,7,STREET,41.698863183,-87.631212868
battery,2014,3,14,15,STREET,41.791265806,-87.660872637
theft,2001,6,6,18,RESIDENCE,41.7780645,-87.661593506
battery,2007,7,11,23,SIDEWALK,41.744722115,-87.634139639
battery,2003,8,4,19,SIDEWALK,41.902297963,-87.751179331
criminal damage,2013,3,27,23,APARTMENT,41.884073173,-87.722080056
battery,2009,7,15,4,ALLEY,41.736922044,-87.551419766
criminal damage,2004,8,13,15,DRUG STORE,41.706571719,-87.669966598
theft,2005,8,25,18,RESIDENCE,41.951457564,-87.763109958
criminal damage,2006,4,11,6,RESIDENCE PORCH/HALLWAY,41.800412197,-87.602848322
battery,2015,12,4,13,RESIDENCE PORCH/HALLWAY,41.796825435,-87.662230111
battery,2009,6,23,21,CHA PARKING LOT/GROUNDS,41.904192368,-87.647000785
battery,2007,10,30,19,SIDEWALK,41.884496442,-87.741590875
battery,2005,6,16,14,STREET,42.011586215,-87.664547394
theft,2007,12,10,20,STREET,41.787427644,-87.62187239
theft,2008,5,1,12,STREET,41.766655655,-87.638388243
criminal damage,2003,11,27,5,AIRPORT/AIRCRAFT,41.976290414,-87.905227221
battery,2015,9,6,13,ALLEY,41.870976217,-87.704037912
theft,2002,12,12,21,STREET,41.936048161,-87.750420431
theft,2011,1,5,10,PARKING LOT/GARAGE(NON.RESID.),41.852854742,-87.631840032
theft,2004,10,10,12,RESIDENCE,41.694957984,-87.623170672
theft,2008,1,4,15,STREET,41.693909881,-87.612190453
theft,2001,1,18,18,STREET,41.900308694,-87.697920542
theft,2017,1,2,12,STREET,41.85472273,-87.710213449
theft,2007,5,22,1,APARTMENT,41.750169673,-87.622972906
theft,2001,7,27,20,RESIDENCE,41.773666908,-87.612925451
criminal damage,2005,3,22,20,VACANT LOT/LAND,41.807723603,-87.60597839
battery,2010,9,14,11,SIDEWALK,41.897501146,-87.771028224
criminal damage,2013,7,7,8,STREET,41.949232201,-87.710337876
battery,2001,4,20,22,STREET,41.899873491,-87.748222363
theft,2006,12,22,7,RESIDENCE,41.68395019,-87.619140257
theft,2010,7,23,8,RESIDENCE,41.782573361,-87.669143476
battery,2014,6,20,18,SIDEWALK,41.705731945,-87.536493726
theft,2005,2,16,16,RESIDENCE,41.719611713,-87.575288506
criminal damage,2015,6,16,15,DEPARTMENT STORE,41.946648722,-87.702084879
theft,2006,2,11,21,APARTMENT,41.96363198,-87.652966902
battery,2005,2,7,12,SIDEWALK,41.781711555,-87.609612588
theft,2001,7,4,20,RESIDENCE,41.869667265,-87.715674709
criminal damage,2014,8,3,14,RESTAURANT,41.920450437,-87.648590301
battery,2004,5,20,6,RESIDENCE,41.878521632,-87.751141808
theft,2006,10,31,12,STREET,41.872457773,-87.733723414
battery,2009,4,15,22,SIDEWALK,41.906995173,-87.72765477
theft,2009,1,1,12,RESIDENCE PORCH/HALLWAY,41.740350147,-87.555126561
theft,2008,11,17,12,RESTAURANT,41.886530422,-87.744355834
battery,2003,10,3,14,STREET,41.756655606,-87.562688485
battery,2016,11,18,16,SIDEWALK,41.873528469,-87.696092983
battery,2007,1,25,10,SIDEWALK,41.780266111,-87.614109162
battery,2008,3,31,15,CHA PARKING LOT/GROUNDS,41.899174859,-87.640883571
criminal damage,2009,11,29,10,RESIDENCE,41.685357148,-87.619439543
battery,2008,1,30,18,SIDEWALK,41.965489855,-87.650663724
battery,2003,4,24,22,GROCERY FOOD STORE,41.86630331,-87.714238568
battery,2011,11,25,18,ALLEY,41.909613031,-87.747192939
battery,2003,5,1,18,STREET,41.689143038,-87.670065135
battery,2010,3,29,21,SIDEWALK,41.934636875,-87.681386898
battery,2006,11,5,24,ALLEY,41.781165519,-87.614432757
criminal damage,2006,5,17,13,OTHER,41.738277932,-87.55752218
criminal damage,2003,6,8,14,STREET,41.935571067,-87.766393859
theft,2003,7,10,13,STREET,41.860911204,-87.695744714
theft,2010,5,7,7,RESIDENCE,41.955634374,-87.715911491
battery,2006,11,18,10,SIDEWALK,41.870829089,-87.716372136
criminal damage,2010,11,21,5,RESIDENCE,41.91479269,-87.670243339
battery,2003,11,20,19,SIDEWALK,41.881042978,-87.69970149
theft,2004,9,12,16,RESIDENCE,41.936457896,-87.683121481
theft,2009,12,9,24,STREET,41.8264818,-87.624147891
theft,2008,5,17,7,RESIDENCE,41.894882654,-87.627773486
criminal damage,2001,1,30,23,STREET,41.986080354,-87.715220152
theft,2017,2,9,19,STREET,41.9756733,-87.775000599
theft,2007,3,16,13,STREET,41.991309019,-87.704284946
criminal damage,2013,1,22,14,APARTMENT,41.764489881,-87.63830165
battery,2010,7,3,17,RESIDENCE,41.766124661,-87.662634466
battery,2017,1,24,14,SIDEWALK,41.88023516,-87.765616381
theft,2001,6,10,19,SIDEWALK,41.767694779,-87.620316276
criminal damage,2011,11,22,20,RESIDENCE PORCH/HALLWAY,41.761143995,-87.616763824
battery,2014,4,7,18,RESIDENCE,41.878827643,-87.729099546
battery,2009,7,26,22,STREET,41.751629666,-87.585777893
battery,2002,12,22,21,SIDEWALK,41.856998973,-87.705404667
theft,2007,5,5,12,OTHER,41.738693288,-87.653415499
theft,2013,1,24,13,RESIDENCE,41.732718021,-87.621989185
criminal damage,2002,9,28,20,GROCERY FOOD STORE,41.766102387,-87.573539169
theft,2007,9,26,19,STREET,42.003032251,-87.810390458
criminal damage,2005,12,5,16,DEPARTMENT STORE,41.929028876,-87.674384528
criminal damage,2017,7,16,16,APARTMENT,41.78937832,-87.665677679
battery,2013,7,19,24,ALLEY,41.898662924999996,-87.747076369
criminal damage,2017,4,2,17,STREET,41.963231352,-87.770564629
theft,2016,2,25,18,CTA PLATFORM,41.877850233,-87.629290122
theft,2008,9,17,7,RESIDENCE-GARAGE,41.979874184,-87.666405629
battery,2002,3,2,13,STREET,41.721571097,-87.635042693
theft,2013,3,12,12,STREET,41.979115715,-87.816875196
battery,2004,7,8,13,STREET,41.860338817,-87.707934323999993
battery,2005,6,18,23,STREET,41.776437246,-87.594556292
criminal damage,2010,2,21,21,STREET,41.748707187,-87.612435017
battery,2003,9,23,16,STREET,41.876889551,-87.690074383
battery,2009,6,30,20,STREET,41.7804509,-87.682371751
criminal damage,2005,9,3,12,BAR OR TAVERN,41.946159169,-87.655678044
criminal damage,2005,4,24,2,STREET,41.730142033,-87.589203357
criminal damage,2012,9,10,14,SMALL RETAIL STORE,41.692742497,-87.612899161
battery,2014,7,26,19,VEHICLE NON-COMMERCIAL,41.784909185,-87.609697627
battery,2001,2,22,12,RESIDENCE PORCH/HALLWAY,41.827293388,-87.622256703
battery,2002,10,22,22,RESIDENCE,41.79579962,-87.634252191
criminal damage,2009,9,2,20,STREET,41.890057354,-87.650314277
battery,2011,7,8,13,ALLEY,41.775557273,-87.687623465
criminal damage,2015,11,6,21,SIDEWALK,41.908452786,-87.765880756
theft,2002,1,31,8,RESIDENCE-GARAGE,41.715989476,-87.59942448
battery,2004,3,31,24,"SCHOOL, PUBLIC, BUILDING",41.774324447,-87.708854943
theft,2004,12,17,12,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,41.895455947,-87.716880786
theft,2004,5,15,19,RESIDENCE,41.956272914,-87.64574741
criminal damage,2004,10,16,1,STREET,41.72580015,-87.598096627
theft,2012,6,23,22,STREET,41.909857246,-87.746114281
criminal damage,2002,7,16,21,VEHICLE NON-COMMERCIAL,41.889453169,-87.627994833
battery,2009,8,16,1,STREET,41.963898045,-87.71200038
battery,2010,9,8,19,STREET,41.875471531,-87.709108672
theft,2001,4,29,3,STREET,41.801370947,-87.653992953
battery,2011,9,19,15,ABANDONED BUILDING,41.795069678,-87.667045167
theft,2013,2,9,6,RESIDENCE,41.797141072,-87.66223782
criminal damage,2011,5,6,8,STREET,41.922025604,-87.674860785
battery,2006,8,29,21,SIDEWALK,41.800945833,-87.658691928
criminal damage,2002,10,1,8,BANK,41.909860018,-87.728149368
theft,2004,2,4,13,RESIDENCE,41.852118283,-87.679579111
theft,2010,10,9,19,RESIDENTIAL YARD (FRONT/BACK),41.877368111,-87.701636183
theft,2010,10,4,20,RESIDENCE,41.745907069,-87.662112043
battery,2009,9,3,17,STREET,41.82940799,-87.674034926
theft,2004,5,20,23,RESIDENCE,41.874964108,-87.746099664
theft,2008,7,18,22,RESIDENCE,41.74095603,-87.652266736
theft,2015,8,3,2,STREET,41.89706158,-87.675862927
theft,2010,7,26,1,ALLEY,41.819041601,-87.637077414
criminal damage,2007,7,12,17,STREET,41.823536688,-87.616989442
theft,2008,8,18,9,RESIDENCE-GARAGE,41.77284986,-87.693233889
battery,2012,12,17,9,"SCHOOL, PUBLIC, GROUNDS",41.989243623,-87.665119726
theft,2008,12,21,3,STREET,41.726418324,-87.643346246
theft,2016,11,22,20,STREET,41.932029777,-87.708013605
