crime_type,year,month,day,hour,location,latitude,longitude
1,2001,11,17,18,STREET,41.898402712,-87.6388974
3,2002,3,8,2,OTHER,41.96055619,-87.71312483
2,2007,2,10,17,STREET,41.947310094,-87.650306328
1,2005,8,6,11,ALLEY,41.707112071,-87.627537804
4,2003,7,9,15,SMALL RETAIL STORE,41.892816145,-87.624193198
0,2012,3,27,22,RESIDENCE,41.73576911,-87.58054668
4,2003,9,19,12,HOSPITAL BUILDING/GROUNDS,41.757630995,-87.585708249
3,2006,12,18,21,ALLEY,41.712889584,-87.667667481
4,2003,1,16,21,OTHER,41.758214815,-87.624119338
0,2012,10,19,19,RESIDENCE-GARAGE,41.852866981,-87.691658554
4,2009,8,24,22,SIDEWALK,41.649568403,-87.544734672
3,2015,7,16,15,PARK PROPERTY,41.779590193,-87.777104405
1,2013,10,7,20,STREET,41.699584978,-87.628081503
4,2011,1,12,24,"SCHOOL, PUBLIC, BUILDING",41.935428738,-87.783396923
0,2009,11,5,23,STREET,41.991147668,-87.776656803
2,2004,9,28,2,SIDEWALK,41.910352215,-87.685087464
2,2002,6,19,19,STREET,41.802977153,-87.743027394
0,2006,9,11,19,STREET,41.79240872,-87.736618961
0,2016,6,20,23,STREET,41.915544663,-87.759410257
1,2011,2,20,11,STREET,41.797222838,-87.653739707
0,2007,12,25,19,APARTMENT,41.655308597,-87.613159131
3,2003,11,6,15,DELIVERY TRUCK,41.758092329,-87.633682992
0,2010,12,28,20,STREET,41.902547422,-87.684567656
4,2004,12,20,9,PARKING LOT/GARAGE(NON.RESID.),41.892760278,-87.622702655
1,2011,7,14,11,SIDEWALK,41.878460682,-87.755919637
4,2001,7,1,15,RESIDENCE,41.878128824,-87.703736409
0,2007,1,1,12,PARKING LOT/GARAGE(NON.RESID.),41.898680349,-87.643985382
0,2011,10,22,6,STREET,41.823528463,-87.703137924
1,2011,2,5,1,GAS STATION,41.874153389,-87.735238688
4,2016,8,28,3,STREET,41.853930752,-87.623841071
1,2008,9,16,19,ALLEY,41.888229536,-87.76513795
1,2013,9,24,20,SIDEWALK,41.787658582,-87.652278668
0,2016,4,12,6,STREET,41.967894291,-87.71824209
4,2014,4,5,24,COMMERCIAL / BUSINESS OFFICE,41.887289811,-87.658908031
0,2005,9,23,22,SIDEWALK,41.737367232,-87.64000479
0,2005,7,4,15,PARK PROPERTY,41.953087341,-87.725090015
1,2003,10,8,15,STREET,41.880957721,-87.747744993
1,2003,11,15,21,STREET,41.895273654,-87.767844936
3,2001,7,11,10,STREET,41.703380602,-87.62144108
1,2003,8,17,20,STREET,41.9084987,-87.759657059
2,2008,1,29,23,STREET,41.852505917,-87.7052761
2,2008,3,13,16,STREET,41.887209971,-87.765954936
2,2004,3,11,12,STREET,41.866428839,-87.703509785
1,2003,1,22,17,STREET,41.884471648,-87.743706376
0,2008,2,28,16,ALLEY,41.79533148,-87.778240858
0,2010,12,11,21,PARKING LOT/GARAGE(NON.RESID.),41.772972076,-87.644610871
2,2016,5,21,2,SIDEWALK,41.866023916,-87.735575126
1,2007,7,13,17,SIDEWALK,41.903242472,-87.71657814
4,2004,3,1,5,APARTMENT,41.912887914,-87.688504318
3,2015,8,5,24,SMALL RETAIL STORE,41.979317093,-87.668294468
3,2013,8,31,23,ALLEY,41.941726802,-87.7272637
2,2015,3,26,22,STREET,41.75418615,-87.55501442
2,2006,8,7,11,STREET,41.881230117,-87.682135713
3,2004,7,16,15,SIDEWALK,41.863962923,-87.70925367
4,2003,10,14,19,GROCERY FOOD STORE,41.909614875,-87.747016581
0,2012,4,28,20,STREET,41.807570272,-87.747155691
3,2009,6,30,13,SMALL RETAIL STORE,41.77924593,-87.684272098
0,2004,1,17,3,OTHER,41.80698532,-87.619528654
1,2004,3,26,11,SIDEWALK,41.905025355,-87.709305775
0,2007,10,9,22,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,41.749638738,-87.663421759
2,2005,8,13,22,STREET,41.88111644,-87.691188718
2,2014,8,12,20,PARKING LOT/GARAGE(NON.RESID.),41.967602242,-87.710898023
2,2012,1,24,20,STREET,41.80856602,-87.668933738
2,2010,1,7,7,STREET,41.881345106,-87.698754758
2,2006,7,17,7,STREET,41.851961298,-87.691153739
4,2013,4,12,10,APARTMENT,41.759579038,-87.61270186
1,2012,8,26,12,STREET,41.873788515,-87.696964272
1,2009,7,19,18,STREET,41.750370861,-87.662377041
3,2009,9,23,23,VEHICLE-COMMERCIAL,41.771782439,-87.649436929
3,2001,11,26,20,SIDEWALK,42.0104296,-87.668099264
2,2001,9,25,13,STREET,41.808468467,-87.689391167
1,2004,6,11,24,SIDEWALK,41.907378172,-87.689603086
2,2004,10,18,18,STREET,41.88093546,-87.709132611
0,2004,3,1,9,RESTAURANT,41.869034816,-87.68216037
0,2004,10,5,17,STREET,41.810772464,-87.609014118
0,2008,10,26,22,RESIDENCE-GARAGE,41.972622792,-87.800040981
0,2011,9,16,15,STREET,41.747645397,-87.603347877
3,2005,1,22,15,ALLEY,41.858384589,-87.707876278
0,2010,9,4,15,STREET,41.923896527,-87.771296264
0,2005,1,1,5,STREET,41.717243701,-87.655271579
0,2002,10,6,19,DRIVEWAY - RESIDENTIAL,41.762508464,-87.641478921
1,2013,10,17,21,STREET,41.797751142,-87.61605544
4,2012,7,23,14,STREET,41.947008254000004,-87.64251291
2,2006,9,14,20,STREET,41.800844112,-87.664762808
0,2004,1,18,21,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,41.760340683,-87.588407406
4,2002,9,14,20,HOTEL/MOTEL,41.898333269,-87.62750777
0,2015,7,16,11,DRIVEWAY - RESIDENTIAL,41.841244671,-87.645141673
0,2009,1,22,19,STREET,41.973588441,-87.663315953
3,2012,9,2,3,ALLEY,41.949292379,-87.649546279
2,2004,8,20,17,STREET,41.910870605,-87.688451145
4,2006,4,7,12,STREET,41.968640186,-87.771123759
2,2008,1,29,21,STREET,41.880850198,-87.716205977
1,2016,3,24,10,BANK,41.881016537,-87.632339962
2,2001,2,5,21,STREET,41.890104431,-87.63307063
0,2010,1,23,24,RESIDENCE,41.9065636,-87.754652554
2,2003,7,17,6,STREET,41.916375298,-87.724086642
4,2016,12,7,16,"SCHOOL, PRIVATE, BUILDING",41.876628223,-87.650053381
0,2008,4,19,10,APARTMENT,41.774282621,-87.613083533
3,2013,9,14,6,SIDEWALK,41.858413159,-87.724945467
3,2006,5,4,21,STREET,41.751528912,-87.548046864
3,2003,11,3,19,STREET,41.893393279,-87.766616423
3,2007,2,9,18,STREET,41.707535018,-87.600839053
0,2005,10,16,14,APARTMENT,41.742331147,-87.652303504
0,2004,10,26,11,STREET,41.926915088,-87.718275764
0,2001,7,29,2,APARTMENT,41.944965724,-87.720168108
3,2001,5,18,2,ALLEY,41.92686498,-87.748604176
1,2002,1,25,13,RESIDENCE,41.799621611,-87.655643463
2,2003,10,24,21,ALLEY,41.807738845,-87.66495155
1,2005,9,17,19,PARK PROPERTY,41.880890949,-87.619525593
4,2002,9,17,24,APARTMENT,41.789847106,-87.671759925999993
1,2005,10,23,1,RESIDENCE PORCH/HALLWAY,41.744870944,-87.60378605
4,2014,4,3,18,PARKING LOT/GARAGE(NON.RESID.),41.88489739,-87.766676821
1,2015,6,8,22,VEHICLE NON-COMMERCIAL,41.89765683,-87.726152565
3,2003,5,14,24,STREET,41.866863003,-87.664772948
0,2009,9,5,6,RESIDENCE,41.819351842,-87.61569704
1,2004,1,30,15,STREET,41.809081165,-87.633674979
