delayed,month,day,weekday,arr_hour,dep_hour,origin,dest,distance,carrier
90,6,26,2,21,20,PHL,CMH,405,US
0,7,19,4,12,7,SAN,AUS,1164,WN
75,3,1,4,20,19,BUR,OAK,325,WN
150,3,1,4,17,14,EGE,MSP,788,NW
0,7,12,4,17,15,CVG,JFK,589,DL
0,7,14,6,7,6,PFN,MEM,417,9E
0,1,24,3,0,16,SFO,EWR,2565,CO
15,1,8,1,11,9,SMF,LAS,397,US
0,8,25,6,15,13,MCO,CVG,756,DL
15,12,5,3,12,10,BWI,CVG,430,OH
15,8,3,5,20,18,SJC,PHX,621,WN
0,7,15,7,5,2,LAS,HNL,2762,HA
0,7,10,2,9,7,ATW,CVG,411,OH
15,12,12,3,17,13,DFW,FLL,1119,AA
45,7,12,4,19,18,LBB,DAL,293,WN
15,8,10,5,22,16,LAX,IAH,1379,CO
45,8,12,7,21,19,DAL,MCI,461,WN
0,3,30,5,16,14,SNA,SEA,978,AS
0,4,26,4,17,16,BWI,MHT,377,WN
0,9,16,7,8,6,IAD,ATL,533,FL
45,6,17,7,20,18,PVD,DCA,357,US
90,3,30,5,15,11,PHX,MCI,1044,WN
0,9,23,7,11,10,RDU,ORD,647,AA
0,2,2,5,19,17,ORD,XNA,522,OO
0,11,8,4,8,7,BOS,PHL,280,US
0,8,5,7,11,9,CLT,IAD,321,YV
0,7,25,3,23,20,DEN,STL,770,F9
15,4,14,6,14,11,BOS,FLL,1237,DL
0,6,21,4,12,11,DCA,LGA,214,US
30,6,4,1,10,8,BDL,PBI,1133,DL
30,3,7,3,11,9,ORD,MDT,594,YV
0,7,7,6,9,8,DEN,GJT,212,OO
15,1,10,3,22,20,JFK,ROC,264,B6
15,4,16,1,14,11,ORD,SEA,1721,UA
75,3,11,7,21,19,ATL,BTV,960,EV
15,4,12,4,11,9,PHX,OAK,646,US
0,11,22,4,10,8,AUS,SEA,1770,AA
60,6,1,5,16,15,SFO,LAX,337,UA
60,10,15,1,15,14,MSP,MKE,297,OO
45,11,20,2,13,12,GRB,ORD,174,MQ
0,6,9,6,20,19,SNA,SJC,342,WN
15,1,19,5,14,12,ABE,DTW,424,9E
0,5,19,6,17,11,SLC,BWI,1864,WN
0,9,30,7,23,16,SLC,JFK,1989,DL
240,5,24,4,20,19,STL,OMA,342,WN
0,8,29,3,16,13,ORD,ALB,723,UA
0,11,21,3,11,8,ABQ,MCI,718,WN
15,11,16,5,10,7,LAX,COS,833,OO
0,5,3,4,15,13,DTW,TYS,443,9E
0,5,24,4,7,6,MEM,ORD,491,MQ
120,11,20,2,18,15,MIA,PHL,1013,AA
0,8,26,7,13,11,ATL,MSP,906,EV
30,9,5,3,12,11,TUL,MEM,342,9E
15,8,20,1,20,18,MCI,LAX,1363,WN
30,11,6,2,12,9,IAH,MCO,853,CO
15,4,20,5,21,18,SAT,ATL,874,EV
0,3,21,3,17,16,SFO,EUG,451,OO
0,11,9,5,13,12,MDW,MSP,349,NW
0,7,1,7,11,10,SJC,LAX,308,WN
0,11,28,3,11,9,ATL,LAX,1946,FL
0,3,11,7,12,11,SGU,SLC,269,OO
0,10,9,2,17,12,LAS,MCI,1140,WN
15,9,23,7,15,14,LEX,ATL,303,EV
135,12,6,4,13,11,SAN,SFO,447,UA
225,7,29,7,22,19,DCA,PBI,857,US
0,9,28,5,17,17,LAX,SAN,109,OO
0,5,24,4,16,12,IAH,DTW,1076,NW
0,2,26,1,7,6,EGE,DEN,121,YV
0,12,28,5,18,16,IAD,SAV,515,YV
0,4,6,5,15,14,DFW,LAS,1055,US
0,7,13,5,13,11,IAH,SFO,1635,CO
15,2,25,7,12,11,JAC,SLC,205,OO
30,11,20,2,22,21,PHX,SMF,647,WN
0,4,16,1,20,17,MCO,SJU,1189,AA
45,10,28,7,22,20,EWR,MKE,725,OO
0,4,19,4,9,7,GRB,DTW,288,NW
15,3,9,5,14,12,LEX,DFW,785,MQ
0,7,31,2,12,11,LIT,DAL,296,WN
30,4,13,5,20,17,LGA,CLT,544,OH
75,3,10,6,11,8,IAD,AUS,1297,YV
0,7,12,4,22,20,CLT,EWR,529,XE
0,7,28,6,15,14,DFW,AMA,313,MQ
105,2,21,3,16,16,ATL,AEX,500,EV
0,4,20,5,15,14,BUR,SMF,358,WN
0,9,21,5,18,16,PHX,SJC,621,US
120,12,16,7,16,14,MCO,IND,828,FL
60,2,19,1,20,19,RDU,IAD,224,YV
15,10,21,7,17,15,MDW,CMH,284,WN
0,12,17,1,14,11,LAS,PDX,762,US
15,10,7,7,16,10,LAX,ORD,1745,AA
0,4,30,1,8,6,ORF,DTW,529,NW
0,8,18,6,20,19,STL,DEN,770,F9
30,12,26,3,20,17,DFW,ATL,732,DL
0,12,27,4,13,11,ATL,PHL,665,DL
0,5,31,4,20,18,MCO,ALB,1073,WN
0,4,18,3,10,8,CLT,IAH,913,XE
0,3,3,6,14,9,LAX,MCI,1363,WN
15,4,22,7,22,19,TPA,EWR,998,B6
0,7,17,2,16,15,SMF,LAX,373,WN
30,12,2,7,9,7,SEA,LAX,954,XE
15,7,19,4,21,20,LAX,LAS,236,WN
30,4,24,2,20,19,MCI,MDW,405,WN
0,1,25,4,8,7,TYS,CVG,226,EV
0,6,19,2,20,18,ONT,OAK,361,WN
