fgm,period,shot_clock,dribbles,touch_time,shot_dist,pts_type,close_def_dist,shooter_height,defender_height,player_name
1,2,19.8,0,0.9,22.2,3,11,81,80,patrick patterson
0,2,9.5,0,1,24.6,3,4.4,78,79,cj miles
0,2,20,0,1,25,3,7.3,75,74,pablo prigioni
1,2,6.7,18,15,3.4,2,2.4,75,85,monta ellis
0,4,19.1,9,4.2,3.9,2,2.6,76,79,john wall
0,3,11.9,16,12.3,3.3,2,3.1,76,73,elfrid payton
0,2,7,1,1.9,26,3,2.8,81,73,mirza teletovic
1,3,8.1,0,1.5,14.9,2,1.7,79,81,paul pierce
1,1,8.8,0,1,0.9,2,3.2,82,81,marreese speights
1,3,11.6,15,11.5,17.2,2,3.7,77,81,james harden
1,2,15.5,0,0.8,22,3,12.7,80,80,hollis thompson
0,3,11.7,1,1.5,6.3,2,2.2,83,82,nerlens noel
0,2,12.6,10,9.9,6,2,2.7,80,83,lebron james
0,1,11.3,14,12.8,6,2,2,78,79,greivis vasquez
0,1,23.1,0,1.1,24.8,3,6.6,79,80,jared dudley
0,2,14.6,0,2.7,16.7,2,3.9,85,82,Dirk Nowitzki
0,3,22.2,0,1,24,3,5.1,73,80,kyle lowry
1,3,12,0,1.7,2.2,2,2.7,81,83,bismack biyombo
0,3,19.8,1,2.3,25.5,3,4.7,78,81,kobe bryant
0,4,9.4,0,1.2,24.4,3,3.3,76,76,gary neal
1,5,14.2,0,0.7,16.5,2,5.2,85,83,Dirk Nowitzki
0,2,12.5,4,3.9,24.1,3,11.8,78,81,manu ginobili
1,3,15.9,7,7.5,20.2,2,4.1,75,76,derrick rose
1,1,10.5,2,3,11.2,2,2.8,80,76,harrison barnes
1,4,13.3,5,5.3,7.7,2,1.8,81,82,luis scola
1,1,11.2,1,2.2,3,2,0,83,77,gorgui dieng
0,2,13,0,0.8,22.4,3,2.2,83,76,charlie villanueva
0,1,12.9,0,0.8,25.3,3,5.9,80,78,hollis thompson
1,2,16.7,10,7.8,10.2,2,3.1,75,69,brandon knight
1,4,6.6,3,4.2,7.1,2,4.5,81,81,taj gibson
0,3,7.7,0,1.2,22.5,3,4,82,78,chandler parsons
0,1,12.5,0,0.8,19.4,2,4.3,80,76,dante cunningham
1,2,14,5,4,8.1,2,0.7,79,79,shawn marion
0,2,10.1,0,1.1,19.7,2,2.8,86,85,alexis ajinca
1,1,4.9,2,1.6,19.4,2,5.7,82,73,ryan anderson
1,2,2.6,1,1.4,22.7,2,4.5,78,80,nik stauskas
0,1,7,0,1.7,26.7,3,3.2,82,76,nikola mirotic
0,1,16,7,7.4,16.9,2,3,71,76,ty lawson
0,2,5.5,6,6.8,12.8,2,2.8,79,73,shaun livingston
0,2,5.4,1,3.8,9.1,2,2.4,80,79,brandon bass
1,1,19,1,1.2,0.9,2,0.6,79,80,kawhi leonard
0,1,20.1,4,4.4,15.5,2,2.8,79,79,evan turner
0,3,13.9,0,0.9,22.7,3,3.2,77,81,gerald henderson
1,1,10.8,0,0.7,2.5,2,3.2,83,85,marcin gortat
0,4,14.1,0,0.9,20.5,2,6,81,82,carl landry
0,2,16.5,6,5.5,7.5,2,3.4,75,78,jarrett jack
0,1,7.9,5,5.4,10.4,2,1.2,77,73,rodney stuckey
1,4,7.6,5,6.3,5.6,2,2.3,73,85,chris paul
0,5,10.5,14,13,5.8,2,0.8,75,80,russell westbrook
1,4,10,2,3,16.8,2,4.2,77,75,marco belinelli
1,1,21.3,0,1.6,1.2,2,0.1,69,80,isaiah thomas
1,3,20.5,0,0.9,6.2,2,2.4,82,82,blake griffin
1,1,7.6,0,0.7,18,2,7.9,82,82,jon leuer
1,1,1.6,0,0.8,20.1,2,6.6,71,81,shane larkin
